symbol,sector,listed_shares
NMBD2085,Corporate Debenture,0
HBLD83,Corporate Debenture,0
LBLD86,Corporate Debenture,0
NBLD82,Corporate Debenture,0
SBIBD86,Corporate Debenture,0
NICAD 85/86,Corporate Debenture,2404688
PBLD84,Corporate Debenture,0
SAND2085,Corporate Debenture,2000000
SRD80,Corporate Debenture,1000000
CIZBD86,Corporate Debenture,0
GBD80/81,Corporate Debenture,103105160
KBLD86,Corporate Debenture,0
MBLD2085,Corporate Debenture,0
NBBD2085,Corporate Debenture,0
NICD83/84,Corporate Debenture,0
PBLD86,Corporate Debenture,0
SBLD83,Corporate Debenture,0
SRBLD83,Corporate Debenture,0
ADBLD83,Corporate Debenture,0
NIBD2082,Corporate Debenture,0
SBLD2082,Corporate Debenture,0
NICAD8283,Corporate Debenture,0
GWFD83,Corporate Debenture,0
ICFCD83,Corporate Debenture,200000
ADBLB,Corporate Debenture,0
BOKD2079,Corporate Debenture,0
EBLD2078,Corporate Debenture,0
LBLD88,Corporate Debenture,0
MBLD87,Corporate Debenture,0
NBLD87,Corporate Debenture,0
NIBD84,Corporate Debenture,0
RBBD83,Corporate Debenture,0
SBD87,Corporate Debenture,0
SBLD84,Corporate Debenture,0
PBD85,Corporate Debenture,0
KSBBLD87,Corporate Debenture,0
NICAD8182,Corporate Debenture,0
MFLD85,Corporate Debenture,0
NCCD86,Corporate Debenture,0
ACLBSL,Microfinance,2867631
AKBSL,Microfinance,1190000
ADBL,Commercial Banks,131879152
AIL,Non Life Insurance,10000000
AKJCL,Hydro Power,8000000
API,Hydro Power,27589156
AMFI,Microfinance,644280
AKPL,Hydro Power,18552105
AHPC,Hydro Power,17295950
AVU,Manufacturing And Processing,550343
ALBSL,Microfinance,3339140
ALICL,Life Insurance,20107608
BOKL,Commercial Banks,106239936
BARUN,Hydro Power,2679075
BFC,Finance,8289138
BHBL,Development Banks,5016002
BSL,Manufacturing And Processing,165000
BBC,Tradings,491400
BNL,Manufacturing And Processing,1948887
BNT,Manufacturing And Processing,1210000
BPCL,Hydro Power,32464966
BSM,Manufacturing And Processing,1306693
CMB,Finance,9350695
CHDC,Investment,8394100
CFCL,Finance,9488756
CCBL,Commercial Banks,95539096
CGH,Hotels,15340910
CBBL,Microfinance,23241000
CHL,Hydro Power,3827250
CHCL,Hydro Power,67517944
CZBIL,Commercial Banks,142009741
CIT,Investment,32700004
CMF1,Mutual Fund,82000000
CMF2,Mutual Fund,56000000
CEFL,Finance,4005000
CBL,Commercial Banks,90758440
CLBSL,Microfinance,2881245
CORBL,Development Banks,2000000
CFL,Finance,700000
DDBL,Microfinance,13874984
DHPL,Hydro Power,2640000
EBL,Commercial Banks,94273400
EBLCP,Preferred Stock,2000000
EIC,Non Life Insurance,11836044
EDBL,Development Banks,11517923
FMDBL,Microfinance,9644923
FHL,Manufacturing And Processing,262102
FOWAD,Microfinance,8444511
GMFBS,Microfinance,1515546
GDBL,Development Banks,27499993
GBBL,Development Banks,36759126
GIC,Non Life Insurance,10000000
GHL,Hydro Power,5500000
GGBSL,Microfinance,276250
GBIME,Commercial Banks,237957536
GBILD86/87,Corporate Debenture,0
GILB,Microfinance,5525894
GIMES1,Mutual Fund,100000000
GFCL,Finance,9461152
GRU,Manufacturing And Processing,3833400
GBLBS,Microfinance,9825000
GRDBL,Development Banks,5190000
GLH,Hydro Power,18000000
GMFIL,Finance,8640000
GLBSL,Microfinance,974999
GLICL,Life Insurance,20842500
GUFL,Finance,8679937
HAMRO,Development Banks,4922395
HBT,Manufacturing And Processing,18650000
HATH,Finance,3000000
HDHPC,Hydro Power,16000000
HURJA,Hydro Power,9900000
HBL,Commercial Banks,129687256
HDL,Manufacturing And Processing,15184792
HFL,Finance,1400000
HGI,Non Life Insurance,11003367
HPPL,Hydro Power,10654170
HIDCL,Investment,237600000
ICFC,Finance,11266924
IGI,Non Life Insurance,11575860
ILBS,Microfinance,4145187
JFL,Finance,6004112
JBNL,Commercial Banks,80007858
JSLBB,Microfinance,1479060
JBLB,Microfinance,6084000
JOSHI,Hydro Power,3714000
JBBL,Development Banks,42677532
JLI,Life Insurance,22000000
JSM,Manufacturing And Processing,1270288
KMCDB,Microfinance,3128754
KPCL,Hydro Power,6900000
KSBBL,Development Banks,31425772
KNBL,Development Banks,5150000
KRBL,Development Banks,5300100
KKHC,Hydro Power,4657143
KLBSL,Microfinance,3928088
KBL,Commercial Banks,147111840
KEF,Mutual Fund,100000000
LFC,Finance,1878697
LBL,Commercial Banks,115513448
LEMF,Mutual Fund,125000000
LLBS,Microfinance,3840540
LUK,Mutual Fund,65262360
LEC,Hydro Power,15000000
LICN,Life Insurance,22110000
LBBL,Development Banks,32842926
LGIL,Non Life Insurance,11988900
MBL,Commercial Banks,102571560
MBJC,Hydro Power,60000000
MLBL,Development Banks,40108832
MLBSL,Microfinance,1475000
MSMBS,Microfinance,1464100
MSLB,Microfinance,2821694
MKJC,Hydro Power,3681430
MKLB,Microfinance,1417455
MFIL,Finance,13515529
MLBS,Microfinance,1093750
MEGA,Commercial Banks,161204608
MMF1,Mutual Fund,125000000
MERO,Microfinance,12000000
MMFDB,Microfinance,5220856
MDB,Development Banks,9034281
MLBBL,Microfinance,1704373
MEN,Hydro Power,19680270
MHNL,Hydro Power,12500000
MNBBL,Development Banks,56571808
MPFL,Finance,4520000
NBF2,Mutual Fund,112000000
NBF3,Mutual Fund,125000000
NABIL,Commercial Banks,184961865
NBLD85,Corporate Debenture,0
NEF,Mutual Fund,125000000
NADEP,Microfinance,4048000
NABBC,Development Banks,2624676
NHPC,Hydro Power,13851862
NLICL,Life Insurance,33908896
NMFBS,Microfinance,4190536
NSLB,Microfinance,2545187
NIL,Non Life Insurance,15216337
NAGRO,Microfinance,652587
NBB,Commercial Banks,100854000
NBL,Commercial Banks,144059056
NBBU,Manufacturing And Processing,210680
NCCB,Commercial Banks,111396784
NTC,Others,150000000
NFD,Others,491285
NFS,Finance,4934964
NHDL,Hydro Power,3199300
NIFRA,Investment,216000000
NICL,Non Life Insurance,12423386
NIB,Commercial Banks,162573295
NKU,Manufacturing And Processing,90000
NLIC,Life Insurance,71999707
NLO,Manufacturing And Processing,388110
NRIC,Others,116500000
SBI,Commercial Banks,98258528
NSEWA,Microfinance,615000
NSM,Finance,4320000
NTL,Tradings,50000
NVG,Manufacturing And Processing,101250
NWC,Tradings,41000
NLBBL,Microfinance,6000000
NGPL,Hydro Power,7069324
NIBLPF,Mutual Fund,75000000
NIBSF2,Mutual Fund,150000000
NIBSF1,Mutual Fund,75000000
NICBF,Mutual Fund,75500000
NICA,Commercial Banks,115640056
NICGF,Mutual Fund,83520000
NICLBSL,Microfinance,17394400
NICD88,Corporate Debenture,0
NICSF,Mutual Fund,125000000
NIDC,Development Banks,2978784
NUBL,Microfinance,21950250
NLG,Non Life Insurance,12060131
NMBMF,Microfinance,6558630
NMB50,Mutual Fund,125000000
NMB,Commercial Banks,183667056
NMBD87/88,Corporate Debenture,0
NMBEB92/93,Corporate Debenture,0
NMBHF1,Mutual Fund,1000000000
NRN,Investment,12232117
NYADI,Hydro Power,15000000
ODBL,Development Banks,25151863
OHL,Hotels,11280905
PMHPL,Hydro Power,11000000
PPCL,Hydro Power,9625000
PFL,Finance,10409198
PRVU,Commercial Banks,127087040
PRIN,Non Life Insurance,11619023
PLI,Life Insurance,20000000
PSF,Mutual Fund,125000000
PIC,Non Life Insurance,10745600
PCBL,Commercial Banks,186563232
PLIC,Life Insurance,27796156
PROFL,Finance,8561070
PICL,Non Life Insurance,11085466
RADHI,Hydro Power,6464046
RJM,Manufacturing And Processing,1806966
RRHP,Hydro Power,5600000
RBCL,Non Life Insurance,2666365
RHPL,Hydro Power,61578900
RMF1,Mutual Fund,125000000
RLFL,Finance,10530064
RLI,Life Insurance,21000000
RHPC,Hydro Power,5855580
RMDC,Microfinance,12410663
RSDC,Microfinance,8051558
RURU,Hydro Power,4484761
SABSL,Microfinance,2699988
SDLBSL,Microfinance,3212255
SIC,Non Life Insurance,11113575
SHBL,Development Banks,2722707
SAHAS,Hydro Power,35000000
SBBLJ,Development Banks,5096682
STC,Tradings,2304829
SAMAJ,Microfinance,200000
SMATA,Microfinance,3427442
SFC,Finance,225000
SPC,Hydro Power,5000000
SFCL,Finance,8189114
SLBSL,Microfinance,1320000
SKBBL,Microfinance,15644138
SANIMA,Commercial Banks,113273776
SAEF,Mutual Fund,130000000
SGI,Non Life Insurance,10000000
SLCF,Mutual Fund,120000000
SLI,Life Insurance,20000000
SHPC,Hydro Power,30892510
SJCL,Hydro Power,32850000
SAPDBL,Development Banks,8343385
SDBD87,Corporate Debenture,0
SADBL,Development Banks,30106698
SICL,Non Life Insurance,17585240
SHINE,Development Banks,37810092
SSHL,Hydro Power,14764000
SHIVM,Manufacturing And Processing,44000000
SBPP,Manufacturing And Processing,3500000
SIFC,Finance,8901349
SRS,Manufacturing And Processing,3045990
SFFIL,Finance,9630339
SBL,Commercial Banks,125244272
SEF,Mutual Fund,150000000
SEOS,Mutual Fund,100000000
SIL,Non Life Insurance,11200000
SIGS2,Mutual Fund,120000000
SINDU,Development Banks,5574561
SHEL,Hydro Power,14500000
SHL,Hotels,84257973
SPARS,Microfinance,1120291
SCB,Commercial Banks,94294536
SMFDB,Microfinance,4940000
SRBL,Commercial Banks,101188928
SBCF,Mutual Fund,125000000
SFMF,Mutual Fund,86000000
SMB,Microfinance,858000
SLICL,Life Insurance,25502820
SLBS,Microfinance,2976516
SWBBL,Microfinance,11221700
SMFBS,Microfinance,1217822
SDESI,Microfinance,2760000
SLBBL,Microfinance,5140991
SYFL,Finance,4744090
SPDL,Hydro Power,8065750
TRH,Hotels,18866540
TPC,Hydro Power,4000000
TMDBL,Development Banks,19219148
UNL,Manufacturing And Processing,920700
UNHPL,Hydro Power,7500000
ULI,Life Insurance,21500000
UFL,Finance,10408347
UMRH,Hydro Power,4200000
UIC,Non Life Insurance,10281600
UMHL,Hydro Power,11500000
UPCL,Hydro Power,21003500
USLB,Microfinance,2290207
UPPER,Hydro Power,105900000
VLBS,Microfinance,3199970
WOMI,Microfinance,4943333
YHL,Hotels,2209208
