,p4,symbol,c4
0,"1,433.00",ACLBSL,-0.83
1,420.60,ADBL,-0.57
2,988.00,ADBLD83,-1.69
3,593.00,AHPC,5.33
4,760.00,AIL,-1.04
5,327.00,AKJCL,-0.91
6,601.00,AKPL,0.17
7,"1,620.00",ALBSL,0.00
8,"1,002.00",ALICL,-2.24
9,557.00,API,1.09
10,555.00,BARUN,-1.77
11,"5,130.00",BBC,-0.97
12,516.10,BFC,-0.86
13,744.00,BNHC,9.73
14,"14,500.00",BNT,-1.33
15,292.20,BOKL,-0.78
16,460.70,BPCL,1.48
17,"1,360.00",CBBL,0.00
18,259.60,CBL,-0.61
19,256.50,CCBL,-0.66
20,500.00,CFCL,-1.38
21,"1,426.00",CGH,-1.99
22,527.00,CHCL,-1.31
23,"1,122.00",CHDC,2.94
24,513.00,CHL,-1.35
25,"3,410.00",CIT,-0.18
26,"1,120.00",CLBSL,1.27
27,10.13,CMF1,1.91
28,10.36,CMF2,-0.58
29,601.20,CORBL,-1.44
30,299.00,CZBIL,0.00
31,"1,290.00",DDBL,-0.77
32,323.00,DHPL,-0.62
33,585.00,EBL,0.00
34,563.60,EDBL,-2.66
35,738.00,EIC,0.48
36,451.40,EICPO,-3.55
37,882.00,FMDBL,-1.89
38,"2,490.00",FOWAD,-2.73
39,615.00,GBBL,0.00
40,363.00,GBIME,-0.82
41,"1,070.50",GBLBS,-2.68
42,701.00,GFCL,-2.71
43,350.10,GHL,-1.66
44,665.30,GIC,-1.26
45,"1,765.00",GILB,1.35
46,12.10,GIMES1,-0.41
47,"1,375.00",GLBSL,-1.79
48,510.50,GLH,1.90
49,695.00,GLICL,-0.71
50,"1,365.00",GMFBS,-1.80
51,500.00,GMFIL,0.00
52,388.00,GRDBL,-0.26
53,778.00,GUFL,-2.99
54,"1,105.00",GWFD83,-0.45
55,360.00,HDHPC,-0.28
56,"4,732.00",HDL,-0.69
57,774.90,HGI,-0.91
58,350.00,HIDCL,-2.37
59,517.10,HPPL,-0.56
60,554.80,HURJA,2.74
61,732.00,ICFC,-0.39
62,"1,160.00",IGI,-0.85
63,"1,416.00",ILBS,-0.49
64,447.00,JBBL,-1.54
65,"4,765.00",JBLB,-2.08
66,692.00,JFL,-0.01
67,722.00,JLI,-0.55
68,334.00,JOSHI,-0.30
69,"2,495.00",JSLBB,-0.60
70,263.00,KBL,0.00
71,9.25,KEF,0.00
72,335.00,KKHC,0.30
73,"1,700.00",KLBSL,0.00
74,"1,334.00",KMCDB,-2.27
75,547.90,KPCL,1.65
76,445.00,KRBL,-2.63
77,539.00,KSBBL,-1.82
78,538.00,LBBL,-0.20
79,297.00,LBL,-1.00
80,426.40,LEC,0.54
81,10.65,LEMF,-0.65
82,778.00,LGIL,-2.75
83,"2,377.00",LICN,0.89
84,"1,588.00",LLBS,-0.75
85,10.40,LUK,0.29
86,451.00,MBJC,-0.88
87,325.00,MBL,-1.52
88,559.00,MDB,-0.55
89,296.00,MEGA,0.34
90,120.00,MEGAPO,0.00
91,"1,235.00",MEN,-1.28
92,"1,199.00",MERO,-0.08
93,726.00,MFIL,-0.82
94,918.00,MFLD85,2.00
95,516.00,MHNL,0.19
96,638.00,MKJC,4.25
97,"1,487.90",MKLB,-0.21
98,"1,808.00",MLBBL,-0.11
99,538.00,MLBL,-0.74
100,"1,520.00",MLBS,-2.56
101,"3,945.00",MLBSL,-0.70
102,9.30,MMF1,1.09
103,"1,415.00",MMFDB,-0.21
104,560.00,MNBBL,-1.39
105,442.00,MPFL,-1.56
106,"1,635.00",MSLB,-0.97
107,567.10,NABBC,-2.22
108,"1,122.00",NABIL,0.08
109,11.50,NBF2,1.14
110,9.70,NBF3,0.00
111,370.50,NBL,-1.20
112,273.00,NCCB,-1.09
113,950.00,NCCD86,0.00
114,11.20,NEF,1.82
115,744.60,NFS,1.31
116,725.00,NGPL,-0.41
117,532.00,NHDL,1.92
118,418.00,NHPC,0.22
119,10.83,NIBLPF,0.28
120,9.42,NIBSF2,0.53
121,860.40,NICA,-1.10
122,11.58,NICBF,0.70
123,12.40,NICGF,0.40
124,903.30,NICL,1.27
125,"1,228.00",NICLBSL,-0.97
126,9.07,NICSF,-1.95
127,376.50,NIFRA,0.13
128,"1,299.00",NIL,-0.08
129,"1,242.00",NLBBL,1.80
130,947.00,NLG,-0.84
131,"1,630.00",NLIC,-2.40
132,"1,115.00",NLICL,-1.33
133,347.00,NMB,-0.14
134,13.45,NMB50,2.59
135,11.90,NMBHF1,-2.78
136,"1,100.00",NMBMF,-0.45
137,"2,680.00",NMFBS,-0.92
138,"1,251.00",NRIC,-0.24
139,790.00,NRN,1.02
140,"1,459.10",NSLB,-1.74
141,"1,560.00",NTC,-0.51
142,"1,270.00",NUBL,-0.70
143,530.00,NYADI,4.13
144,507.50,OHL,-0.49
145,359.00,PCBL,-0.25
146,596.00,PFL,-3.07
147,995.00,PIC,-0.50
148,754.00,PICL,-1.95
149,639.90,PLI,-0.48
150,793.00,PLIC,-1.37
151,390.00,PMHPL,1.04
152,544.00,PPCL,-0.40
153,873.00,PRIN,-1.90
154,399.00,PROFL,-1.72
155,333.00,PRVU,-0.30
156,9.22,PSF,-0.32
157,717.00,RADHI,-1.25
158,"18,700.00",RBCL,2.19
159,"16,401.00",RBCLPO,0.13
160,420.50,RHPL,-0.36
161,511.00,RLFL,-1.73
162,574.00,RLI,0.17
163,"1,260.00",RMDC,-3.49
164,9.16,RMF1,0.00
165,778.00,RSDC,-0.89
166,"1,088.00",RURU,2.06
167,"1,482.00",SABSL,-1.53
168,427.00,SADBL,-0.33
169,14.07,SAEF,0.93
170,700.00,SAHAS,6.06
171,369.00,SANIMA,0.00
172,363.00,SAPDBL,-1.89
173,9.18,SBCF,-0.65
174,914.00,SBD87,-1.93
175,398.00,SBI,0.13
176,455.00,SBL,-0.22
177,508.10,SCB,0.42
178,"1,403.10",SDLBSL,-0.56
179,11.42,SEF,0.18
180,408.10,SFCL,-0.46
181,12.15,SFMF,-2.41
182,663.00,SGI,-1.19
183,524.00,SHEL,2.50
184,444.00,SHINE,-1.51
185,"1,470.00",SHIVM,-1.74
186,224.00,SHL,-0.93
187,455.00,SHPC,0.22
188,"1,380.00",SIC,0.73
189,"1,986.00",SICL,-0.55
190,478.00,SIFC,-2.45
191,11.61,SIGS2,0.96
192,"1,018.00",SIL,2.83
193,430.00,SINDU,-0.92
194,417.00,SJCL,-1.42
195,"1,381.10",SKBBL,-1.28
196,"1,159.00",SLBBL,-1.36
197,"1,391.00",SLBSL,3.04
198,9.21,SLCF,-0.65
199,577.00,SLI,1.23
200,814.00,SLICL,-0.37
201,"1,225.00",SMATA,-0.81
202,"1,990.10",SMB,-0.23
203,"1,950.00",SMFBS,-2.21
204,"1,241.00",SMFDB,-2.74
205,676.00,SPC,-0.44
206,520.00,SPDL,3.36
207,287.20,SRBL,-0.93
208,386.90,SSHL,-1.05
209,"6,576.00",STC,-0.71
210,"1,352.20",SWBBL,-0.57
211,635.00,TPC,3.93
212,374.00,TRH,-0.27
213,728.00,UIC,-0.11
214,720.00,ULI,1.12
215,437.00,UMHL,-1.13
216,660.00,UMRH,2.33
217,408.00,UNHPL,-0.24
218,"19,002.00",UNL,-0.25
219,418.00,UPCL,-0.24
220,750.90,UPPER,-1.97
221,"1,636.00",USLB,-1.74
222,"1,395.00",VLBS,-1.97
223,"1,959.20",WNLB,10.00
